"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"CADM4","CADM4","ENSG00000105767.2","cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]","CADM4",0.434817087812799,0.0015076028982484,0.0289929277560957
"EPHA2","EPHA2","ENSG00000142627.12","EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]","EPHA2",0.42716798623,0.00191341916997074,0.0308955685142815
"SUCO","SUCO","ENSG00000094975.13","SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]","SUCO",0.425031554256198,0.000160585685850124,0.0124827195914276
"NT5E","NT5E","ENSG00000135318.11","5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]","NT5E",0.424018071209109,0.000274448279422394,0.014657021625369
"TMOD2","TMOD2","ENSG00000128872.9","tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]","TMOD2",0.419754733896648,0.00179171008669683,0.0301954723352916
"C1orf35","C1orf35","ENSG00000143793.12","chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]","C1orf35",0.416596254656496,0.00164217200383862,0.0298384540651504
"SCARB1","SCARB1","ENSG00000073060.15","scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]","SCARB1",0.412477050648091,0.000943282847491448,0.0246918032638044
"GNL3","GNL3","ENSG00000163938.16","G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]","GNL3",0.411531968789376,0.00106395903546346,0.0259553463466148
"PLOD1","PLOD1","ENSG00000083444.16","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]","PLOD1",0.407405511962106,0.000446825556006851,0.0167582622574763
"PCDH1","PCDH1","ENSG00000156453.13","protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]","PCDH1",0.407307774177859,0.000435760078628484,0.0167582622574763
"KCNAB2","KCNAB2","ENSG00000069424.14","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]","KCNAB2",0.406138122494091,0.00132068559199175,0.0276268241842198
"TINAGL1","TINAGL1","ENSG00000142910.15","tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]","TINAGL1",0.405065460861794,0.000502363612179689,0.0182141375718728
"HEXDC","HEXDC","ENSG00000169660.15","hexosaminidase D [Source:HGNC Symbol;Acc:HGNC:26307]","HEXDC",0.403687495740076,0.000960317079707493,0.0250506475181783
"RBCK1","RBCK1","ENSG00000125826.20","RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]","RBCK1",0.403421388172151,0.003351745126868,0.0386747350113352
"AGRN","AGRN","ENSG00000188157.14","agrin [Source:HGNC Symbol;Acc:HGNC:329]","AGRN",0.400915523391563,0.00140894964173353,0.0282648171783295
"TGFB2","TGFB2","ENSG00000092969.11","transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]","TGFB2",0.399041294443957,0.000521174047651384,0.0185556742010655
"FNDC3B","FNDC3B","ENSG00000075420.12","fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]","FNDC3B",0.398714309142911,0.00572442554603232,0.048599204635703
"LAMA4","LAMA4","ENSG00000112769.18","laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]","LAMA4",0.396040535572582,0.00595579126445407,0.0497111137790062
"ZC3HAV1","ZC3HAV1","ENSG00000105939.12","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","ZC3HAV1",0.395588938601387,7.34117310275363e-05,0.00935881164583302
"CDH3","CDH3","ENSG00000062038.13","cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]","CDH3",0.395242446743765,0.00157376954709808,0.0295773254259818
"RASAL2","RASAL2","ENSG00000075391.16","RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]","RASAL2",0.389691628169036,0.00255668445850935,0.0348323260320228
"PHLDB3","PHLDB3","ENSG00000176531.10","pleckstrin homology like domain family B member 3 [Source:HGNC Symbol;Acc:HGNC:30499]","PHLDB3",0.389682254141681,0.000819148388407032,0.02366299077663
"NOMO3","NOMO3","ENSG00000103226.17","NODAL modulator 3 [Source:HGNC Symbol;Acc:HGNC:25242]","NOMO3",0.38891739662392,0.00195795385048728,0.0313272616077965
"ABCD1","ABCD1","ENSG00000101986.11","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]","ABCD1",0.387433872127888,0.000746211396127701,0.0230139408293814
"VASN","VASN","ENSG00000168140.4","vasorin [Source:HGNC Symbol;Acc:HGNC:18517]","VASN",0.384821520666865,0.00131836546174934,0.0276268241842198
"MLKL","MLKL","ENSG00000168404.12","mixed lineage kinase domain like pseudokinase [Source:HGNC Symbol;Acc:HGNC:26617]","MLKL",0.3842882919328,0.000208744846532875,0.0127900718371771
"C18orf25","C18orf25","ENSG00000152242.10","chromosome 18 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:28172]","C18orf25",0.383526091369445,0.00401246083984437,0.0417845724349538
"SCNM1","SCNM1","ENSG00000163156.11","sodium channel modifier 1 [Source:HGNC Symbol;Acc:HGNC:23136]","SCNM1",0.382793094241283,0.00188013078931965,0.0307518211882861
"UTP3","UTP3","ENSG00000132467.3","UTP3, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24477]","UTP3",0.378353322434802,0.00563619757762536,0.0483172512511398
"BCL3","BCL3","ENSG00000069399.14","B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]","BCL3",0.377880445907908,0.00186898881397575,0.0306483144930796
"MYDGF","MYDGF","ENSG00000074842.7","myeloid derived growth factor [Source:HGNC Symbol;Acc:HGNC:16948]","MYDGF",0.376753302789088,0.00145346855884183,0.0286003150225219
"NUB1","NUB1","ENSG00000013374.15","negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]","NUB1",0.364057685429777,0.00481527346267169,0.0451654648046123
"TNFRSF10A","TNFRSF10A","ENSG00000104689.9","TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]","TNFRSF10A",0.360569284679251,0.00456783762988205,0.0441911733495566
"SURF6","SURF6","ENSG00000148296.6","surfeit 6 [Source:HGNC Symbol;Acc:HGNC:11478]","SURF6",0.359879205327622,9.86949525655578e-05,0.010264275066818
"NFIC","NFIC","ENSG00000141905.18","nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]","NFIC",0.357554254291593,0.000195277661258962,0.0126931342340496
"DIMT1","DIMT1","ENSG00000086189.9","DIM1 dimethyladenosine transferase 1 homolog [Source:HGNC Symbol;Acc:HGNC:30217]","DIMT1",0.356328855805375,0.00332184165624062,0.038423543082715
"ADGRE5","ADGRE5","ENSG00000123146.19","adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]","ADGRE5",0.355376361937548,0.00304875874091373,0.0370126567053209
"TGM2","TGM2","ENSG00000198959.11","transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]","TGM2",0.354321679588097,0.00275495737284045,0.0356986858595375
"GTF2B","GTF2B","ENSG00000137947.11","general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]","GTF2B",0.352699748222884,0.0013857569621773,0.0280491634114709
"CDK16","CDK16","ENSG00000102225.15","cyclin dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749]","CDK16",0.348962623488288,0.000389645768123137,0.0163817029321557
"DDX54","DDX54","ENSG00000123064.12","DEAD-box helicase 54 [Source:HGNC Symbol;Acc:HGNC:20084]","DDX54",0.348589462002948,0.000333978789557493,0.0160779987182647
"MED25","MED25","ENSG00000104973.16","mediator complex subunit 25 [Source:HGNC Symbol;Acc:HGNC:28845]","MED25",0.345596406642042,0.0015236995800872,0.0291605846997803
"ARHGAP23","ARHGAP23","ENSG00000275832.4","Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293]","ARHGAP23",0.342078583725242,0.000213348604923498,0.0128725753688193
"SMCHD1","SMCHD1","ENSG00000101596.14","structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]","SMCHD1",0.342067357165951,0.000234911216845905,0.0137332234301721
"PALM3","PALM3","ENSG00000187867.8","paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]","PALM3",0.340081373994254,0.00195568959247687,0.0313272616077965
"RARRES1","RARRES1","ENSG00000118849.9","retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]","RARRES1",0.339290875941343,0.00105398454598868,0.0259523172943754
"CNP","CNP","ENSG00000173786.16","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]","CNP",0.338220273234135,0.00339157755410031,0.0387734315637176
"CLGN","CLGN","ENSG00000153132.12","calmegin [Source:HGNC Symbol;Acc:HGNC:2060]","CLGN",0.338088927186739,0.00182405372602364,0.0304162882921748
"PTGS2","PTGS2","ENSG00000073756.11","prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]","PTGS2",0.337741081046404,0.00285715930284421,0.0361726016588108
"NOMO1","NOMO1","ENSG00000103512.14","NODAL modulator 1 [Source:HGNC Symbol;Acc:HGNC:30060]","NOMO1",0.33358759124744,0.00390861672158173,0.0413984232029796
"FAM120C","FAM120C","ENSG00000184083.11","family with sequence similarity 120C [Source:HGNC Symbol;Acc:HGNC:16949]","FAM120C",0.332889125958109,0.00163316608616562,0.0298384540651504
"TRIM15","TRIM15","ENSG00000227147.9","tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284]","TRIM15",0.331022010232043,0.00396509064565504,0.0415100350506721
"DHPS","DHPS","ENSG00000095059.15","deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]","DHPS",0.330722808133019,0.000968373366304819,0.0250951576631911
"NEMP1","NEMP1","ENSG00000166881.9","nuclear envelope integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29001]","NEMP1",0.33046725243549,0.00571214692429504,0.048599204635703
"NSUN5","NSUN5","ENSG00000130305.16","NOP2/Sun RNA methyltransferase family member 5 [Source:HGNC Symbol;Acc:HGNC:16385]","NSUN5",0.328908259929922,0.000319779542343468,0.0158446300312567
"XPO5","XPO5","ENSG00000124571.17","exportin 5 [Source:HGNC Symbol;Acc:HGNC:17675]","XPO5",0.328126449848401,0.00383260019637142,0.0410472519676419
"SLC12A7","SLC12A7","ENSG00000113504.20","solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]","SLC12A7",0.327089543480764,0.000266069019204266,0.0145035139847622
"DAXX","DAXX","ENSG00000206279.10","death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]","DAXX",0.32636557646124,0.0035932185387086,0.0397770298738835
"BSDC1","BSDC1","ENSG00000160058.18","BSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25501]","BSDC1",0.326198071317563,0.00275508582671026,0.0356986858595375
"GTPBP4","GTPBP4","ENSG00000107937.18","GTP binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21535]","GTPBP4",0.323542548860263,0.00091047519105848,0.0242469704947913
"PSMB8","PSMB8","ENSG00000230669.6","proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]","PSMB8",0.323056885467815,0.00139153244204106,0.0280578378109504
"GPT2","GPT2","ENSG00000166123.13","glutamic--pyruvic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:18062]","GPT2",0.322761762799353,0.00561015310545961,0.0483172512511398
"HPDL","HPDL","ENSG00000186603.5","4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242]","HPDL",0.318640043774491,0.00501729737761355,0.0457929774511056
"LCN2","LCN2","ENSG00000148346.11","lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]","LCN2",0.318538262397766,0.00369373455689063,0.040422521646307
"DNAJC1","DNAJC1","ENSG00000136770.10","DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]","DNAJC1",0.31770313705902,0.000205556829701207,0.0126931342340496
"PATL1","PATL1","ENSG00000166889.13","PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]","PATL1",0.317188095818331,0.00103077394456951,0.025663534377777
"PAWR","PAWR","ENSG00000177425.10","pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614]","PAWR",0.316580061177159,0.00075328171044336,0.0230139408293814
"SLC1A4","SLC1A4","ENSG00000115902.10","solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]","SLC1A4",0.316393797381317,0.00134643309781031,0.0278490949695205
"SPECC1","SPECC1","ENSG00000128487.16","sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]","SPECC1",0.31613132999222,0.00427771590295747,0.0427447111213348
"NAMPT","NAMPT","ENSG00000105835.11","nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]","NAMPT",0.31511690585186,0.000139113256945187,0.0123545076729748
"TGFBR2","TGFBR2","ENSG00000163513.17","transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]","TGFBR2",0.31324274813316,0.00137393841893689,0.0279886836682401
"DDX27","DDX27","ENSG00000124228.14","DEAD-box helicase 27 [Source:HGNC Symbol;Acc:HGNC:15837]","DDX27",0.312809665764207,0.00182209346364465,0.0304162882921748
"IQCE","IQCE","ENSG00000106012.17","IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]","IQCE",0.311769658343952,0.00474633024387697,0.0449820074911314
"ELF3","ELF3","ENSG00000163435.15","E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]","ELF3",0.311161670672341,0.000762579488211698,0.0230139408293814
"TNFRSF21","TNFRSF21","ENSG00000146072.6","TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]","TNFRSF21",0.310191777932953,0.00115285034883989,0.0270015735647166
"IKZF3","IKZF3","ENSG00000161405.16","IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]","IKZF3",0.308715003653982,0.00421551733137628,0.0423772408505641
"WWC2","WWC2","ENSG00000151718.15","WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]","WWC2",0.304357568427162,0.00559271417952203,0.0483112709015761
"RBM23","RBM23","ENSG00000100461.17","RNA binding motif protein 23 [Source:HGNC Symbol;Acc:HGNC:20155]","RBM23",0.301916268031746,0.000459825007754826,0.0169834432770754
"IFITM3","IFITM3","ENSG00000142089.15","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]","IFITM3",0.300312280593974,0.00145623196009804,0.0286003150225219
"NPNT","NPNT","ENSG00000168743.12","nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]","NPNT",0.30020340494812,0.00585659267824775,0.0494028906391358
"DCUN1D5","DCUN1D5","ENSG00000137692.11","defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]","DCUN1D5",0.299802178973097,0.00209058203056849,0.0322104490635738
"LLPH","LLPH","ENSG00000139233.6","LLP homolog, long-term synaptic facilitation [Source:HGNC Symbol;Acc:HGNC:28229]","LLPH",0.298773372380102,0.00177317544877577,0.0301325007664198
"PTGFRN","PTGFRN","ENSG00000134247.9","prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]","PTGFRN",0.29843447754962,0.00246412051151029,0.034655531179675
"NKTR","NKTR","ENSG00000114857.17","natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833]","NKTR",0.294559088548964,0.00459012006015217,0.0442388503178604
"SNAPC1","SNAPC1","ENSG00000023608.4","small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]","SNAPC1",0.292977897826022,0.00516235943333214,0.0468164233355064
"MPHOSPH10","MPHOSPH10","ENSG00000124383.8","M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]","MPHOSPH10",0.292385434785546,0.000353120021807862,0.0161332985686089
"TBL2","TBL2","ENSG00000106638.15","transducin beta like 2 [Source:HGNC Symbol;Acc:HGNC:11586]","TBL2",0.288738102655634,0.00321912904499383,0.0378872379940529
"DOCK4","DOCK4","ENSG00000128512.20","dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]","DOCK4",0.288439710299231,0.00402053262077798,0.0418010523955311
"RYBP","RYBP","ENSG00000281766.2","RING1 and YY1 binding protein [Source:NCBI gene;Acc:23429]","RYBP",0.285276258361492,0.00389009494540716,0.0413270301727126
"LONP1","LONP1","ENSG00000196365.11","lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]","LONP1",0.280391993980648,0.00136032840073822,0.0279273654011296
"PIK3AP1","PIK3AP1","ENSG00000155629.14","phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]","PIK3AP1",0.279712332216954,0.000282257391205194,0.0147745855634825
"HSPA5","HSPA5","ENSG00000044574.7","heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]","HSPA5",0.277650642241204,0.000396872336190399,0.0163844618691239
"SULF2","SULF2","ENSG00000196562.14","sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]","SULF2",0.277395782519208,0.00122860355806319,0.0274318715337046
"TUFT1","TUFT1","ENSG00000143367.15","tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]","TUFT1",0.275259002656984,0.00221567637657113,0.032878935009104
"WFS1","WFS1","ENSG00000109501.13","wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]","WFS1",0.27501925706951,0.00243109911093998,0.0343746106849188
"SPINT1","SPINT1","ENSG00000166145.14","serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]","SPINT1",0.274521078427265,0.000323740244883274,0.0158934341338969
"DDX52","DDX52","ENSG00000278053.4","DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]","DDX52",0.274094700019407,0.000900863764154106,0.0242469704947913
"UPF2","UPF2","ENSG00000151461.19","UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]","UPF2",0.271152454961348,0.00500313326200724,0.0457929774511056
"PLXNB2","PLXNB2","ENSG00000196576.14","plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]","PLXNB2",0.268630141564142,2.15229075570068e-05,0.00550884602279935
"ITGA3","ITGA3","ENSG00000005884.17","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","ITGA3",0.26841268966714,0.00435816890407812,0.0431968327979794
"TNS3","TNS3","ENSG00000136205.16","tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]","TNS3",0.268310450948188,0.000897670303388493,0.0242469704947913
"MAEA","MAEA","ENSG00000090316.15","macrophage erythroblast attacher [Source:HGNC Symbol;Acc:HGNC:13731]","MAEA",0.267903968067005,0.00552328208555818,0.0480793189474139
"EMC7","EMC7","ENSG00000134153.9","ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301]","EMC7",0.267159074758781,0.00184570219746469,0.0305380713644775
"CRTAP","CRTAP","ENSG00000170275.14","cartilage associated protein [Source:HGNC Symbol;Acc:HGNC:2379]","CRTAP",0.261603907160834,0.00374140090061459,0.0405690944156388
"SGCE","SGCE","ENSG00000127990.15","sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]","SGCE",0.261279443222255,0.000540528779702803,0.01879561288619
"CCPG1","CCPG1","ENSG00000260916.7","cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227]","CCPG1",0.260191935267732,9.40649001767442e-05,0.0101847804246163
"GNE","GNE","ENSG00000159921.14","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]","GNE",0.258433162920219,0.000449237045976246,0.0167582622574763
"PTK7","PTK7","ENSG00000112655.15","protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]","PTK7",0.258056121097321,0.000262918666278273,0.0145035139847622
"DNAJA4","DNAJA4","ENSG00000140403.12","DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]","DNAJA4",0.257959137177274,0.000637454641166173,0.0208341378675832
"CALR","CALR","ENSG00000179218.13","calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]","CALR",0.257723817375118,0.0054975431747118,0.0480510762421295
"MRPS18A","MRPS18A","ENSG00000096080.11","mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:HGNC:14515]","MRPS18A",0.257292127437647,0.00527030729281417,0.0470667961305917
"BAG3","BAG3","ENSG00000151929.9","BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]","BAG3",0.256820756626409,0.00127365169870898,0.0276156865358807
"SLC39A7","SLC39A7","ENSG00000206288.13","solute carrier family 39 member 7 [Source:HGNC Symbol;Acc:HGNC:4927]","SLC39A7",0.256633872704935,0.00131943330161425,0.0276268241842198
"FAM129A","FAM129A","ENSG00000135842.16","family with sequence similarity 129 member A [Source:HGNC Symbol;Acc:HGNC:16784]","FAM129A",0.254006742698492,0.00565622766505009,0.048337660084624
"HM13","HM13","ENSG00000101294.16","histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]","HM13",0.253471263006153,0.0051649697809415,0.0468164233355064
"MORC2","MORC2","ENSG00000133422.12","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]","MORC2",0.251517908836033,0.00266798497671548,0.0351462554265986
"NDUFAF4","NDUFAF4","ENSG00000123545.5","NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]","NDUFAF4",0.249309068706716,0.00442949808833632,0.0434916184971556
"GTPBP1","GTPBP1","ENSG00000100226.15","GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]","GTPBP1",0.248001280907118,0.000593832580850785,0.0198044418525089
"PLEKHA7","PLEKHA7","ENSG00000166689.15","pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049]","PLEKHA7",0.247602663892997,7.68278861903018e-05,0.00958915148436398
"NOSIP","NOSIP","ENSG00000142546.13","nitric oxide synthase interacting protein [Source:HGNC Symbol;Acc:HGNC:17946]","NOSIP",0.244821634621834,0.000280279780533462,0.0147688759022432
"SUPV3L1","SUPV3L1","ENSG00000156502.13","Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]","SUPV3L1",0.244556563287497,0.00219774783143916,0.0327754695465946
"STX17","STX17","ENSG00000136874.10","syntaxin 17 [Source:HGNC Symbol;Acc:HGNC:11432]","STX17",0.244525681534161,0.00283170449291733,0.0361726016588108
"FKBP14","FKBP14","ENSG00000106080.10","FK506 binding protein 14 [Source:HGNC Symbol;Acc:HGNC:18625]","FKBP14",0.242817590337991,0.00254783405574763,0.0348323260320228
"LRRC8E","LRRC8E","ENSG00000171017.10","leucine rich repeat containing 8 VRAC subunit E [Source:HGNC Symbol;Acc:HGNC:26272]","LRRC8E",0.242782356094848,0.00203701918374606,0.0319643041811745
"DUSP10","DUSP10","ENSG00000143507.17","dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]","DUSP10",0.242569740698632,0.00596860412149252,0.0497111137790062
"DAP3","DAP3","ENSG00000132676.15","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]","DAP3",0.241506678898929,0.00364617709707488,0.0401384175143174
"KRT71","KRT71","ENSG00000139648.6","keratin 71 [Source:HGNC Symbol;Acc:HGNC:28927]","KRT71",0.239384042875105,0.00349734057230543,0.039239104456744
"TTC14","TTC14","ENSG00000163728.10","tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]","TTC14",0.238987526388814,0.00387781767054252,0.0413076426792023
"TUBE1","TUBE1","ENSG00000074935.13","tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]","TUBE1",0.23882297972319,0.0047866014120019,0.0451654648046123
"OTUD4","OTUD4","ENSG00000164164.15","OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]","OTUD4",0.238463859167258,0.00261948465658727,0.0349146825053385
"TAF1C","TAF1C","ENSG00000103168.16","TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]","TAF1C",0.238321293416382,0.00602838600464084,0.0499900435323012
"RRP9","RRP9","ENSG00000114767.6","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]","RRP9",0.238063967785305,0.00238917474145182,0.0341483492883096
"GPHN","GPHN","ENSG00000171723.15","gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]","GPHN",0.23793270445913,0.00180039759036217,0.0302773245834524
"LEMD2","LEMD2","ENSG00000161904.11","LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]","LEMD2",0.236919263345901,0.00121690910838509,0.0273251408882834
"DTL","DTL","ENSG00000143476.17","denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]","DTL",0.236500844863894,0.0044506415519099,0.0436450010251809
"PLEKHA2","PLEKHA2","ENSG00000169499.14","pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]","PLEKHA2",0.235835885782049,0.00423529643786313,0.0424078061503561
"DNAJC16","DNAJC16","ENSG00000116138.12","DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]","DNAJC16",0.235816784751661,0.000907506830560154,0.0242469704947913
"PDE12","PDE12","ENSG00000174840.8","phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]","PDE12",0.235571128267503,4.60229329248418e-05,0.00777476069218946
"SUPT16H","SUPT16H","ENSG00000092201.9","SPT16 homolog, facilitates chromatin remodeling subunit [Source:HGNC Symbol;Acc:HGNC:11465]","SUPT16H",0.233048683085056,0.00272975029817145,0.0356627212508217
"YARS","YARS","ENSG00000134684.10","tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840]","YARS",0.231214834537945,0.00434363948736828,0.0431308121961795
"NOM1","NOM1","ENSG00000146909.7","nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]","NOM1",0.231156915633738,0.00144915554534715,0.0286003150225219
"SERPINB9","SERPINB9","ENSG00000170542.5","serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]","SERPINB9",0.230693612354548,0.00593038092429701,0.0497111137790062
"SMAD3","SMAD3","ENSG00000166949.15","SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]","SMAD3",0.229658556794202,0.000800950205038806,0.0233170765273279
"ZCCHC8","ZCCHC8","ENSG00000033030.13","zinc finger CCHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:25265]","ZCCHC8",0.227866051950565,0.000824628126992086,0.02366299077663
"ARG2","ARG2","ENSG00000081181.7","arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]","ARG2",0.227481504020243,0.00235646617768408,0.0339262452976594
"PDLIM1","PDLIM1","ENSG00000107438.8","PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]","PDLIM1",0.22697815738601,0.00253367891115537,0.0348323260320228
